iso_a2	iso_a3	name	name_long	region_wb	geometry
AW	ABW	Aruba	Aruba	Latin America & Caribbean	list(list(c(-69.89912109375, -69.895703125, -69.9421875, -70.004150390625, -70.06611328125, -70.05087890625, -70.035107421875, -69.97314453125, -69.91181640625, -69.89912109375, 12.452001953125, 12.422998046875, 12.438525390625, 12.50048828125, 12.54697265625, 12.5970703125, 12.614111328125, 12.567626953125, 12.48046875, 12.452001953125)))
AF	AFG	Afghanistan	Afghanistan	South Asia	"list(list(c(74.89130859375, 74.840234375, 74.7673828125, 74.73896484375, 74.72666015625, 74.6689453125, 74.558984375, 74.37216796875, 74.376171875, 74.49794921875, 74.52646484375, 74.54140625, 74.4310546875, 74.1947265625, 74.0388671875, 74.00185546875, 73.9078125, 73.769140625, 73.7318359375, 73.4111328125, 73.116796875, 72.99375, 72.7662109375, 72.6228515625, 72.53134765625, 72.43115234375, 72.326953125, 72.2498046875, 72.15673828125, 72.09560546875, 71.920703125, 71.822265625, 71.77265625, 71.71640625, 
71.6205078125, 71.5458984375, 71.46328125, 71.31259765625, 71.23291015625, 71.18505859375, 71.22021484375, 71.34287109375, 71.39755859375, 71.4275390625, 71.48359375, 71.51904296875, 71.57197265625, 71.58740234375, 71.6005859375, 71.57197265625, 71.5455078125, 71.5455078125, 71.57724609375, 71.6052734375, 71.6205078125, 71.60166015625, 71.5455078125, 71.51708984375, 71.455078125, 71.35810546875, 71.294140625, 71.22578125, 71.11328125, 71.065625, 71.01630859375, 70.965625, 70.97890625, 71.02294921875, 
71.095703125, 71.0923828125, 71.0890625, 71.09130859375, 71.0515625, 70.8484375, 70.65400390625, 70.41572265625, 70.32568359375, 70.25361328125, 69.9947265625, 69.8896484375, 69.86806640625, 70.056640625, 70.1341796875, 70.2197265625, 70.2841796875, 70.2611328125, 70.090234375, 69.9201171875, 69.7037109375, 69.5677734375, 69.5015625, 69.453125, 69.40458984375, 69.40537109375, 69.35947265625, 69.28994140625, 69.24140625, 69.25654296875, 69.279296875, 69.1869140625, 69.08310546875, 68.9734375, 68.8689453125, 
68.78232421875, 68.713671875, 68.6732421875, 68.59765625, 68.520703125, 68.44326171875, 68.31982421875, 68.21396484375, 68.16103515625, 68.13017578125, 68.0171875, 67.73984375, 67.6267578125, 67.57822265625, 67.59755859375, 67.6470703125, 67.73349609375, 67.737890625, 67.6615234375, 67.59638671875, 67.45283203125, 67.2873046875, 67.11591796875, 67.027734375, 66.92431640625, 66.829296875, 66.73134765625, 66.62421875, 66.59580078125, 66.566796875, 66.49736328125, 66.39716796875, 66.346875, 66.2869140625, 
66.3009765625, 66.30546875, 66.2818359375, 66.2384765625, 66.24716796875, 66.31337890625, 66.2869140625, 66.23125, 66.17705078125, 65.96162109375, 65.6662109375, 65.47099609375, 65.18046875, 65.0955078125, 64.9189453125, 64.82734375, 64.703515625, 64.52109375, 64.39375, 64.26611328125, 64.17216796875, 64.11796875, 64.09873046875, 63.97099609375, 63.567578125, 62.4765625, 62.3734375, 62.0009765625, 61.521484375, 61.2244140625, 60.843359375, 61.1041015625, 61.331640625, 61.55947265625, 61.7841796875, 
61.81083984375, 61.8142578125, 61.755078125, 61.66015625, 61.346484375, 61.1107421875, 60.8541015625, 60.820703125, 60.7916015625, 60.804296875, 60.7875, 60.78994140625, 60.82724609375, 60.829296875, 60.71044921875, 60.64453125, 60.5765625, 60.5619140625, 60.560546875, 60.71806640625, 60.76689453125, 60.85927734375, 60.9169921875, 60.90693359375, 60.8064453125, 60.65458984375, 60.573828125, 60.51083984375, 60.4859375, 60.52705078125, 60.4857421875, 60.57021484375, 60.64267578125, 60.889453125, 60.80390625, 
60.76259765625, 60.7361328125, 60.72626953125, 60.739453125, 60.80234375, 60.8453125, 60.91474609375, 60.951171875, 60.9578125, 60.9908203125, 61.0404296875, 61.080078125, 61.07021484375, 61.106640625, 61.12314453125, 61.149609375, 61.12646484375, 61.106640625, 61.1, 61.1396484375, 61.1892578125, 61.19921875, 61.22568359375, 61.2455078125, 61.278515625, 61.2818359375, 61.26201171875, 61.3447265625, 61.377734375, 61.42177734375, 61.5427734375, 61.62099609375, 61.7197265625, 61.841015625, 61.9380859375, 
61.98388671875, 62.0896484375, 62.2130859375, 62.25283203125, 62.27119140625, 62.3078125, 62.38662109375, 62.462890625, 62.53310546875, 62.610546875, 62.6880859375, 62.72265625, 62.8580078125, 62.9802734375, 63.056640625, 63.0841796875, 63.1193359375, 63.1697265625, 63.15078125, 63.12998046875, 63.10859375, 63.12998046875, 63.17890625, 63.30166015625, 63.5169921875, 63.69658203125, 63.8625, 63.9380859375, 64.00966796875, 64.0423828125, 64.0513671875, 64.0921875, 64.184375, 64.3580078125, 64.51103515625, 
64.5658203125, 64.6025390625, 64.67431640625, 64.753125, 64.782421875, 64.81630859375, 64.9515625, 65.0896484375, 65.30361328125, 65.55498046875, 65.6080078125, 65.6412109375, 65.6830078125, 65.74384765625, 65.7650390625, 65.90068359375, 66.1083984375, 66.35029296875, 66.471875, 66.522265625, 66.827734375, 67.06884765625, 67.1955078125, 67.3197265625, 67.44169921875, 67.51728515625, 67.546484375, 67.607421875, 67.7, 67.7529296875, 67.758984375, 67.766015625, 67.83447265625, 67.9580078125, 68.0677734375, 
68.212109375, 68.2609375, 68.284765625, 68.29951171875, 68.3869140625, 68.546484375, 68.63701171875, 68.669140625, 68.7232421875, 68.78203125, 68.82373046875, 68.8384765625, 68.85537109375, 68.88525390625, 68.91181640625, 68.96044921875, 69.05, 69.18017578125, 69.26484375, 69.30390625, 69.35380859375, 69.414453125, 69.4296875, 69.39921875, 69.4201171875, 69.49208984375, 69.62578125, 69.8208984375, 69.940625, 69.9849609375, 70.0447265625, 70.11982421875, 70.188671875, 70.25146484375, 70.25498046875, 
70.1994140625, 70.2146484375, 70.23876953125, 70.31328125, 70.4177734375, 70.5185546875, 70.6158203125, 70.7359375, 70.87890625, 71.0521484375, 71.255859375, 71.33271484375, 71.2828125, 71.278515625, 71.319921875, 71.3896484375, 71.48779296875, 71.551953125, 71.5822265625, 71.58037109375, 71.54619140625, 71.505078125, 71.4796875, 71.45478515625, 71.43291015625, 71.471875, 71.530859375, 71.5974609375, 71.665625, 71.7337890625, 71.80205078125, 71.9419921875, 72.153515625, 72.3587890625, 72.657421875, 
72.75703125, 72.8955078125, 73.2111328125, 73.38291015625, 73.48134765625, 73.6046875, 73.6326171875, 73.65712890625, 73.72060546875, 73.7337890625, 73.71728515625, 73.648828125, 73.6275390625, 73.653515625, 73.749609375, 73.948828125, 74.077734375, 74.16708984375, 74.203515625, 74.25966796875, 74.3490234375, 74.444921875, 74.52421875, 74.659375, 74.73056640625, 74.83046875, 74.875390625, 74.89130859375, 37.231640625, 37.225048828125, 37.249169921875, 37.28564453125, 37.29072265625, 37.26669921875, 
37.23662109375, 37.15771484375, 37.137353515625, 37.0572265625, 37.0306640625, 37.02216796875, 36.98369140625, 36.896875, 36.825732421875, 36.823095703125, 36.8529296875, 36.8884765625, 36.88779296875, 36.881689453125, 36.8685546875, 36.851611328125, 36.835009765625, 36.82958984375, 36.802001953125, 36.7658203125, 36.7423828125, 36.734716796875, 36.70087890625, 36.633740234375, 36.5341796875, 36.486083984375, 36.4318359375, 36.4265625, 36.436474609375, 36.377685546875, 36.29326171875, 36.17119140625, 
36.12177734375, 36.04208984375, 36.00068359375, 35.938525390625, 35.88017578125, 35.833740234375, 35.714599609375, 35.597509765625, 35.546826171875, 35.46083984375, 35.40791015625, 35.37041015625, 35.328515625, 35.2888671875, 35.247998046875, 35.211767578125, 35.1830078125, 35.15068359375, 35.101416015625, 35.051123046875, 34.966943359375, 34.909619140625, 34.867724609375, 34.779541015625, 34.681591796875, 34.599609375, 34.554638671875, 34.53037109375, 34.486279296875, 34.43115234375, 34.36943359375, 
34.2732421875, 34.204052734375, 34.120263671875, 34.04970703125, 33.981884765625, 33.952294921875, 33.950439453125, 33.9611328125, 33.9759765625, 34.051806640625, 34.007275390625, 33.89765625, 33.719873046875, 33.620751953125, 33.4546875, 33.36904296875, 33.289013671875, 33.198095703125, 33.1125, 33.0947265625, 33.06416015625, 33.020068359375, 32.8328125, 32.7642578125, 32.68271484375, 32.59033203125, 32.53056640625, 32.433544921875, 32.249462890625, 31.93681640625, 31.8380859375, 31.7384765625, 
31.6673828125, 31.634228515625, 31.646435546875, 31.708056640625, 31.759716796875, 31.802978515625, 31.794140625, 31.7544921875, 31.76767578125, 31.807373046875, 31.802978515625, 31.76328125, 31.677978515625, 31.548193359375, 31.53876953125, 31.506494140625, 31.4533203125, 31.4099609375, 31.379248046875, 31.3439453125, 31.31298828125, 31.277685546875, 31.234619140625, 31.217822265625, 31.242919921875, 31.300244140625, 31.305615234375, 31.263671875, 31.19453125, 31.046044921875, 31.019970703125, 30.99658203125, 
30.96455078125, 30.91220703125, 30.802783203125, 30.60791015625, 30.502978515625, 30.321142578125, 30.19345703125, 30.109619140625, 30.043505859375, 29.9685546875, 29.92001953125, 29.86572265625, 29.835595703125, 29.77890625, 29.701318359375, 29.6515625, 29.57763671875, 29.55947265625, 29.552783203125, 29.56416015625, 29.567138671875, 29.564501953125, 29.5443359375, 29.50693359375, 29.4603515625, 29.4142578125, 29.391943359375, 29.430078125, 29.497998046875, 29.408349609375, 29.425390625, 29.530419921875, 
29.665673828125, 29.7494140625, 29.85869140625, 30.12841796875, 30.363720703125, 30.599365234375, 30.83193359375, 30.91328125, 31.07255859375, 31.285302734375, 31.382421875, 31.421630859375, 31.451123046875, 31.483251953125, 31.495166015625, 31.660595703125, 31.73447265625, 31.877197265625, 31.987109375, 32.16796875, 32.2494140625, 32.6, 32.794384765625, 32.994873046875, 33.0587890625, 33.137841796875, 33.32353515625, 33.363818359375, 33.45625, 33.505224609375, 33.53896484375, 33.55869140625, 33.560400390625, 
33.588330078125, 33.638916015625, 33.7119140625, 33.8419921875, 34.094775390625, 34.21962890625, 34.307177734375, 34.31943359375, 34.418017578125, 34.475244140625, 34.491796875, 34.51826171875, 34.5447265625, 34.554638671875, 34.5876953125, 34.633984375, 34.653857421875, 34.71005859375, 34.749755859375, 34.799365234375, 34.855615234375, 34.921728515625, 35.001123046875, 35.050732421875, 35.09375, 35.15654296875, 35.20947265625, 35.272314453125, 35.2888671875, 35.31201171875, 35.36162109375, 35.424462890625, 
35.474072265625, 35.51376953125, 35.55341796875, 35.619580078125, 35.6294921875, 35.593115234375, 35.54580078125, 35.457861328125, 35.43232421875, 35.41943359375, 35.431494140625, 35.447900390625, 35.443701171875, 35.3796875, 35.28994140625, 35.250244140625, 35.189111328125, 35.17080078125, 35.23125, 35.2513671875, 35.239892578125, 35.233154296875, 35.255322265625, 35.271337890625, 35.349658203125, 35.4091796875, 35.44580078125, 35.56806640625, 35.637548828125, 35.678125, 35.728271484375, 35.766748046875, 
35.818701171875, 35.84619140625, 35.858447265625, 35.8583984375, 35.913134765625, 35.967822265625, 36.012353515625, 36.0197265625, 36.012109375, 36.02509765625, 36.067626953125, 36.1126953125, 36.14892578125, 36.22607421875, 36.340673828125, 36.427587890625, 36.554541015625, 36.7501953125, 36.964794921875, 37.05927734375, 37.132080078125, 37.1935546875, 37.237939453125, 37.24677734375, 37.251171875, 37.368408203125, 37.467822265625, 37.519140625, 37.56083984375, 37.569140625, 37.50810546875, 37.41474609375, 
37.3681640625, 37.3447265625, 37.348486328125, 37.3712890625, 37.334814453125, 37.235205078125, 37.2095703125, 37.2580078125, 37.266650390625, 37.23564453125, 37.222509765625, 37.22724609375, 37.1998046875, 37.172216796875, 37.14013671875, 37.064208984375, 36.972021484375, 36.9498046875, 37.021533203125, 37.0130859375, 37.036328125, 37.088427734375, 37.1375, 37.183447265625, 37.224462890625, 37.2583984375, 37.268017578125, 37.2580078125, 37.270703125, 37.30283203125, 37.316845703125, 37.328076171875, 
37.333935546875, 37.325048828125, 37.26650390625, 37.15830078125, 37.1083984375, 37.116943359375, 37.150048828125, 37.207763671875, 37.290869140625, 37.39931640625, 37.48671875, 37.553076171875, 37.59404296875, 37.6095703125, 37.60029296875, 37.566162109375, 37.547216796875, 37.543505859375, 37.582470703125, 37.66416015625, 37.765380859375, 37.88603515625, 37.9244140625, 37.9412109375, 37.984814453125, 38.075439453125, 38.1919921875, 38.334423828125, 38.42255859375, 38.456396484375, 38.41787109375, 
38.306982421875, 38.170263671875, 38.00791015625, 37.918408203125, 37.90185546875, 37.906298828125, 37.931884765625, 37.933154296875, 37.910107421875, 37.8642578125, 37.795654296875, 37.6029296875, 37.43603515625, 37.271826171875, 37.1275390625, 37.015087890625, 36.8451171875, 36.73291015625, 36.696923828125, 36.684033203125, 36.694287109375, 36.766455078125, 36.900537109375, 36.98291015625, 37.029052734375, 37.172705078125, 37.267529296875, 37.40849609375, 37.462255859375, 37.4716796875, 37.446044921875, 
37.43720703125, 37.43046875, 37.41875, 37.37578125, 37.329443359375, 37.2912109375, 37.261572265625, 37.23935546875, 37.231787109375, 37.283154296875, 37.3162109375, 37.329443359375, 37.3724609375, 37.4154296875, 37.41875, 37.39560546875, 37.382373046875, 37.394482421875, 37.35703125, 37.2859375, 37.2419921875, 37.231640625)))"
AO	AGO	Angola	Angola	Sub-Saharan Africa	"list(list(c(14.1908203125001, 14.3986328125001, 14.65791015625, 14.7494140625, 15.08935546875, 15.4250000000001, 15.7269531250001, 16.0601562500001, 16.3152343750001, 16.4314453125, 16.537109375, 16.58515625, 16.6080078125, 16.6395507812501, 16.697265625, 16.7177734375, 16.7009765625, 16.7093750000001, 16.74296875, 16.8130859375001, 16.9194335937501, 16.9658203125, 16.9520507812501, 16.9847656250001, 17.0637695312501, 17.12158203125, 17.155078125, 17.2450195312501, 17.411328125, 17.53603515625, 17.57958984375, 
17.643359375, 17.77880859375, 17.9130859375, 18.0087890625, 18.04716796875, 18.1915039062501, 18.33486328125, 18.48466796875, 18.5626953125, 18.65341796875, 18.8983398437501, 18.9444335937501, 19.14267578125, 19.3408203125, 19.369921875, 19.3716796875001, 19.4193359375001, 19.4798828125001, 19.48740234375, 19.4837890625001, 19.52763671875, 19.6603515625001, 19.8751953125, 19.9974609375001, 20.1900390625001, 20.4822265625001, 20.5900390625, 20.59873046875, 20.5369140625, 20.53583984375, 20.5583984375, 
20.6078125000001, 20.9109375, 21.19033203125, 21.51083984375, 21.75107421875, 21.7816406250001, 21.8060546875001, 21.8416015625, 21.8335937500001, 21.7800781250001, 21.8008789062501, 21.8958984375001, 21.90537109375, 21.871875, 21.8294921875, 21.8131835937501, 21.856640625, 21.9486328125001, 22.0891601562501, 22.19775390625, 22.27451171875, 22.30244140625, 22.281640625, 22.283203125, 22.3070312500001, 22.2804687500001, 22.203515625, 22.1779296875, 22.21669921875, 22.226171875, 22.256640625, 22.27880859375, 
22.3149414062501, 22.3929687500001, 22.4861328125, 22.56103515625, 22.66650390625, 22.81474609375, 23.07626953125, 23.1567382812501, 23.4001953125, 23.46396484375, 23.5599609375001, 23.69638671875, 23.8338867187501, 23.901171875, 23.90732421875, 23.9287109375, 23.96650390625, 23.98828125, 24.0100585937501, 24.0255859375, 24.0414062500001, 24.0466796875001, 24.029296875, 24.0146484375, 23.9868164062501, 23.97099609375, 23.98388671875, 23.9734375000001, 23.9623046875, 23.9588867187501, 23.9964843750001, 
23.99130859375, 23.9447265625, 23.909375, 23.8865234375, 23.882421875, 23.96806640625, 23.96298828125, 23.8974609375001, 23.8431640625, 23.6358398437501, 23.3386718750001, 23.04150390625, 22.7443359375001, 22.4709960937501, 22.2095703125, 21.9789062500001, 21.97900390625, 21.9791015625, 21.9791015625, 21.9792968750001, 21.97939453125, 21.9794921875, 21.97958984375, 21.9796875000001, 21.97978515625, 21.97978515625, 22.0402343750001, 22.15068359375, 22.1939453125, 22.305078125, 22.45947265625, 22.5459960937501, 
22.72197265625, 22.9558593750001, 23.1816406250001, 23.3806640625, 23.0682617187501, 22.6240234375001, 22.32421875, 21.9608398437501, 21.71845703125, 21.4168945312501, 21.36875, 21.2878906250001, 21.1134765625001, 20.90830078125, 20.7455078125001, 20.6250976562501, 20.5076171875, 20.39296875, 20.1943359375001, 19.91181640625, 19.63935546875, 19.3771484375, 19.1894531250001, 19.07646484375, 18.9552734375, 18.8259765625001, 18.71806640625, 18.58818359375, 18.48662109375, 18.4603515625, 18.4282226562501, 
18.3963867187501, 18.1087890625001, 17.8353515625001, 17.6788085937501, 17.2962890625, 16.913671875, 16.5310546875001, 16.1484375, 15.7658203125001, 15.3832031250001, 15.0005859375, 14.6179687500001, 14.41474609375, 14.22587890625, 14.01748046875, 13.98740234375, 13.93798828125, 13.9041992187501, 13.7919921875, 13.6943359375, 13.56171875, 13.4759765625, 13.4037109375001, 13.2756835937501, 13.1794921875, 13.1011718750001, 12.96318359375, 12.8592773437501, 12.7851562500001, 12.6565429687501, 12.54814453125, 
12.3592773437501, 12.31845703125, 12.21337890625, 12.11435546875, 12.0139648437501, 11.9025390625, 11.74306640625, 11.780078125, 11.8189453125, 11.8199218750001, 11.79697265625, 11.7694335937501, 11.75087890625, 11.84970703125, 11.89990234375, 11.96787109375, 12.0161132812501, 12.0732421875001, 12.28046875, 12.37890625, 12.5037109375, 12.55048828125, 12.8976562500001, 12.983203125, 13.1626953125001, 13.4169921875, 13.59794921875, 13.685546875, 13.7853515625, 13.78427734375, 13.8474609375, 13.8335937500001, 
13.73896484375, 13.72138671875, 13.63349609375, 13.5394531250001, 13.4954101562501, 13.3322265625, 13.2875000000001, 13.2093750000001, 13.196875, 13.1556640625001, 13.0759765625001, 12.99853515625, 12.99853515625, 13.0467773437501, 13.0927734375, 13.0772460937501, 13.04658203125, 13.05380859375, 13.358984375, 13.3783203125, 13.3680664062501, 13.36640625, 13.3785156250001, 13.0908203125, 12.8623046875001, 12.8234375, 12.5212890625, 12.4021484375, 12.33427734375, 12.2833007812501, 12.3025390625001, 
12.38037109375, 12.553515625, 12.790625, 13.009765625, 13.0681640625001, 13.184375, 13.3026367187501, 13.346484375, 13.3714843750001, 13.6490234375, 13.76455078125, 13.978515625, 14.11376953125, 14.1908203125001, -5.8759765625, -5.89267578125002, -5.88886718749995, -5.88007812500004, -5.87451171874997, -5.86884765624997, -5.86386718750002, -5.86494140624997, -5.86562500000002, -5.90019531249996, -5.9658203125, -6.02529296874995, -6.05156249999997, -6.11455078125002, -6.16425781250003, -6.24140625000001, 
-6.34599609375, -6.47167968749994, -6.61845703125, -6.77255859374996, -6.93398437499998, -7.06210937499998, -7.15703124999995, -7.25742187499998, -7.3630859375, -7.41904296875003, -7.46132812500004, -7.62333984375, -7.88193359375002, -8.07587890625, -8.09902343750001, -8.09072265625001, -8.07138671874998, -8.06767578125002, -8.10761718749998, -8.10078125000001, -8.02382812499997, -8.00029296874997, -7.96855468749999, -7.93593750000001, -7.93603515625003, -7.99814453124998, -8.00146484375003, -8.00146484375003, 
-7.96660156250003, -7.70654296874999, -7.65507812499999, -7.55732421874997, -7.47216796875003, -7.39072265624995, -7.27949218750003, -7.14443359374995, -7.03710937500003, -6.98632812499999, -6.97646484375002, -6.9462890625, -6.91582031250002, -6.91992187499996, -6.93515624999995, -7.12177734374995, -7.18281249999995, -7.24443359374999, -7.27773437500002, -7.28144531249998, -7.28496093749999, -7.29667968749997, -7.30546874999999, -7.3146484375, -7.32861328125, -7.42099609374999, -7.60166015625002, 
-7.86542968750003, -8.11191406249998, -8.34111328124995, -8.69335937499994, -8.90351562500004, -9.16845703125001, -9.46875, -9.59423828124999, -9.7255859375, -9.86279296874999, -10.040625, -10.25908203125, -10.3966796875, -10.4533203125, -10.5515625, -10.69130859375, -10.783984375, -10.8294921875, -10.89228515625, -11.0126953124999, -11.12197265625, -11.163671875, -11.194140625, -11.1986328125, -11.15947265625, -11.08671875, -11.055859375, -11.059765625, -11.0802734375, -11.087890625, -11.0748046875, 
-10.97646484375, -10.9693359375, -10.97861328125, -11.0076171875, -11.013671875, -10.983203125, -10.94345703125, -10.89150390625, -10.87177734375, -11.00283203125, -11.184765625, -11.315625, -11.37412109375, -11.40537109375, -11.43916015625, -11.51767578125, -11.58720703125, -11.63583984375, -11.725, -11.8529296875, -11.987890625, -12.1177734375, -12.35068359375, -12.42216796875, -12.54375, -12.6361328125, -12.74326171875, -12.7990234375, -12.95693359375, -12.9884765625, -12.9982421875, -13.0009765625, 
-13.0009765625, -13.0009765625, -13.0009765625, -13.0009765625, -13.0009765625, -13.0009765625, -13.0009765625, -13.1568359375, -13.477734375, -13.79873046875, -14.11962890625, -14.44052734375, -14.76142578125, -15.08232421875, -15.40322265625, -15.72412109375, -15.95556640625, -16.26279296875, -16.59716796875, -16.628125, -16.68955078125, -16.81513671875, -16.91025390625, -17.07529296875, -17.2857421875, -17.4744140625, -17.640625, -17.698828125, -17.781640625, -17.8375, -17.90517578125, -17.94775390625, 
-18.00068359375, -17.99951171875, -17.96298828125, -17.95576171875, -18.0060546875, -18.0197265625, -17.9966796875, -17.9525390625, -17.88740234375, -17.863671875, -17.88134765625, -17.86865234375, -17.82548828125, -17.80849609375, -17.81767578125, -17.803515625, -17.7663085937501, -17.70322265625, -17.57001953125, -17.4427734375, -17.424609375, -17.40517578125, -17.3994140625, -17.39599609375, -17.3927734375, -17.392578125, -17.3919921875, -17.39140625, -17.3908203125, -17.390234375, -17.3896484375, 
-17.38916015625, -17.38857421875, -17.38798828125, -17.3876953125, -17.39775390625, -17.40888671875, -17.40419921875, -17.38876953125, -17.3607421875, -17.28837890625, -17.23349609375, -17.1412109375, -17.0400390625, -17.0078125, -16.98955078125, -16.9716796875, -16.96767578125, -17.0154296875, -17.06259765625, -17.108203125, -17.160546875, -17.2126953125, -17.205859375, -17.21337890625, -17.2099609375, -17.16455078125, -17.1685546875, -17.2265625, -17.24921875, -16.8712890625, -16.7041015625, -16.504296875, 
-15.98642578125, -15.91533203125, -15.83193359375, -15.768359375, -15.71982421875, -15.633984375, -15.513671875, -15.2482421875, -14.6375, -14.0390625, -13.75546875, -13.43779296875, -13.027734375, -12.77568359375, -12.6521484375, -12.52041015625, -12.2861328125, -12.123828125, -11.81279296875, -11.48798828125, -11.05439453125, -10.9296875, -10.75712890625, -10.63359375, -10.5123046875, -10.420703125, -10.25712890625, -9.99892578125001, -9.82675781250001, -9.70322265624998, -9.55068359374999, -9.38964843749996, 
-9.23037109375001, -9.048046875, -8.99101562500002, -8.92226562500004, -8.89970703124997, -8.93427734375, -8.97519531249999, -9.00683593749994, -8.68720703125003, -8.62470703125, -8.55478515624996, -8.46923828125003, -8.36972656250001, -7.78017578124998, -7.23183593749999, -6.95478515624995, -6.59033203124996, -6.35341796875001, -6.1873046875, -6.12431640624996, -6.09257812499999, -6.08427734374997, -6.04589843749997, -6.00390624999994, -5.90761718749997, -5.86484374999995, -5.85624999999997, -5.88183593749994, 
-5.86337890625001, -5.86181640624996, -5.86171875000002, -5.85517578125003, -5.8572265625, -5.86513671875001, -5.8759765625)), list(c(12.2552734375, 12.2136718750001, 12.1990234375, 12.15546875, 12.1800781250001, 12.2065429687501, 12.1771484375, 12.110546875, 12.03994140625, 12.0183593750001, 12.0775390625001, 12.16708984375, 12.204296875, 12.30791015625, 12.3466796875, 12.3740234375001, 12.3845703125001, 12.50146484375, 12.6416992187501, 12.71943359375, 12.7982421875001, 12.84814453125, 12.8810546875001, 
12.9713867187501, 13.0480468750001, 13.07275390625, 13.05732421875, 12.9474609375, 12.8296875, 12.6748046875001, 12.59619140625, 12.57353515625, 12.5027343750001, 12.45146484375, 12.45322265625, 12.4874023437501, 12.5223632812501, 12.5189453125, 12.5037109375, 12.4845703125, 12.38603515625, 12.2552734375, -5.74648437499999, -5.75869140624999, -5.73193359374996, -5.63271484374999, -5.53867187500002, -5.46826171874999, -5.32480468749998, -5.19716796874999, -5.03515625000003, -5.00429687499997, -4.9521484375, 
-4.83769531249995, -4.77861328124999, -4.76552734374999, -4.72412109374999, -4.65771484374996, -4.61914062500001, -4.58749999999996, -4.53115234375002, -4.46972656249994, -4.43056640624997, -4.42890624999998, -4.44511718749999, -4.55175781249996, -4.61923828125003, -4.634765625, -4.65107421875003, -4.69531249999999, -4.73662109374996, -4.90537109374996, -4.97841796875002, -4.99658203124999, -5.03691406250003, -5.07148437499997, -5.09062499999996, -5.11269531250002, -5.14892578125003, -5.42460937499997, 
-5.69580078124997, -5.71875000000003, -5.727734375, -5.74648437499999)))"
AI	AIA	Anguilla	Anguilla	Latin America & Caribbean	list(list(c(-63.001220703125, -63.160009765625, -63.1533203125, -63.026025390625, -62.97958984375, -63.001220703125, 18.22177734375, 18.17138671875, 18.20029296875, 18.2697265625, 18.264794921875, 18.22177734375)))
