year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2004	Svante Paabo	Svante	Paabo	ISMB		MPI Evolutionary Anthropology	Germany
2004	Anna Tramontano	Anna	Tramontano	ISMB		University of Rome	Italy
2005	Ewan Birney	Ewan	Birney	ISMB		EMBL-EBI	United Kingdom
2005	Janet Thornton	Janet	Thornton	ISMB		EMBL-EBI	United Kingdom
2005	Howard Cash	Howard	Cash	ISMB		Gene Codes	United States
2005	Peter J Hunter	Peter	Hunter	ISMB		University of Auckland	New Zealand
2005	Jill Mesirov	Jill	Mesirov	ISMB		Broad Institute	United States
2005	Satoru Miyano	Satoru	Miyano	ISMB		University of Tokyo	Japan
2005	Pavel Pevzner	Pavel	Pevzner	ISMB		UCSD	United States
2005	Gunnar von Heijne	Gunnar	Heijne	ISMB		Stockholm Bioinformatics Center	Sweden
2006	Robert Huber	Robert	Huber	ISMB		MPI Biochemistry	Germany
2006	Tom Blundell	Tom	Blundell	ISMB		University of Cambridge	United Kingdom
2006	Kurt Wuthrich	Kurt	Wuthrich	ISMB		Institute of Molecular Biology and Biophysics ETH Hönggerberg CH-Zürich	Switzerland
2006	Mathieu Blanchette	Mathieu	Blanchette	ISMB		McGill Center for Bioinformatics	Canada
2006	Elana Conti	Elana	Conti	ISMB		EMBL-Heidelberg	Germany
2006	Charles DeLisi	Charles	DeLisi	ISMB		Boston University	United States
2006	Richard Roberts	Richard	Roberts	ISMB		New England Biolabs	United States
2006	Michael Waterman	Michael	Waterman	ISMB		University of Southern California	United States
2007	Eran Segal	Eran	Segal	ISMB		Weizmann Institute of Science	Israel
2007	Temple Smith	Temple	Smith	ISMB		Boston University	United States
2007	Soren Brunak	Soren	Brunak	ISMB		Technical University Denmark	Denmark
2007	Stephen Burley	Stephen	Burley	ISMB		SGX Pharmaceuticals	United States
2007	Michael Eisen	Michael	Eisen	ISMB		UC Berkeley	United States
2007	Anne-Claude Gavin	Anne-Claude	Gavin	ISMB		EMBL-Heidelberg	Germany
2007	John Mattick	John	Mattick	ISMB		University of Queensland	Australia
2007	Erin O'Shea	Erin	O'Shea	ISMB		Harvard University	United States
2007	Renee Schroeder	Renee	Schroeder	ISMB		University of Vienna	Austria
2007	Terry Speed	Terry	Speed	ISMB		UC Berkeley	United States
2008	Aviv Regev	Aviv	Regev	ISMB		Broad Institute	United States
2008	David Haussler	David	Haussler	ISMB		University of California Santa Cruz	United States
2008	Claire M. Fraser-Liggett	Claire	Fraser-Liggett	ISMB		University of Maryland	United States
