fore_name_simple	n_authors	genderize_sample_size	query_date	probability_male
min	186	7493	2019-09-20	0.57
elena	185	149871	2019-09-20	0.010000000000000009
pablo	183	76709	2019-09-20	0.99
dirk	183	23736	2019-09-20	0.99
andré	183	3	2019-09-20	1.0
matteo	181	69199	2019-09-20	0.99
karen	181	48557	2019-09-20	0.050000000000000044
roger	180	38190	2019-09-20	0.98
hans	180	37182	2019-09-20	0.97
alexandre	179	61354	2019-09-20	0.99
christina	179	35006	2019-09-20	0.020000000000000018
ruth	179	28718	2019-09-20	0.020000000000000018
ben	178	77991	2019-09-20	0.95
ali	178	319583	2019-09-20	0.95
rainer	178	7008	2019-09-20	0.99
roland	178	30706	2019-09-20	0.99
jean	177	196185	2019-09-20	0.95
steffen	176	12961	2019-09-20	1.0
ron	175	15585	2019-09-20	0.98
luca	175	185452	2019-09-20	0.96
anders	175	12623	2019-09-20	0.99
peng	174	1286	2019-09-20	0.84
adrian	174	90344	2019-09-20	0.99
francesca	173	106743	2019-09-20	0.010000000000000009
jessica	172	144795	2019-09-20	0.020000000000000018
keith	172	14549	2019-09-20	0.98
yun	170	2421	2019-09-20	0.48
rafael	170	45829	2019-09-20	0.99
guillaume	169	58261	2019-09-20	0.99
bin	169	3575	2019-09-20	0.91
bruce	168	10698	2019-09-20	0.98
catherine	166	50312	2019-09-20	0.020000000000000018
mary	165	142684	2019-09-20	0.010000000000000009
ming	163	2947	2019-09-20	0.74
rob	162	32016	2019-09-20	0.98
bruno	161	103169	2019-09-20	0.99
eugene	160	8915	2019-09-20	0.95
jin	160	7587	2019-09-20	0.7
javier	158	106497	2019-09-20	0.99
diego	157	85672	2019-09-20	0.99
karl	155	20591	2019-09-20	0.98
colin	154	13002	2019-09-20	0.98
bernard	154	38897	2019-09-20	0.98
stuart	154	10695	2019-09-20	0.99
julio	153	37832	2019-09-20	0.98
teresa	152	51700	2019-09-20	0.020000000000000018
claudia	152	118604	2019-09-20	0.020000000000000018
chen	152	5003	2019-09-20	0.62
qi	151	445	2019-09-20	0.64
dennis	151	61118	2019-09-20	0.99
rolf	150	7534	2019-09-20	0.99
ronald	150	23684	2019-09-20	0.99
pavel	150	62180	2019-09-20	0.98
anton	149	25344	2019-09-20	0.97
johan	149	41501	2019-09-20	0.99
rebecca	148	36835	2019-09-20	0.020000000000000018
carl	148	17561	2019-09-20	0.98
michele	148	88388	2019-09-20	0.86
caroline	147	64753	2019-09-20	0.020000000000000018
giorgio	147	41494	2019-09-20	0.99
guy	146	26733	2019-09-20	0.98
sven	145	35251	2019-09-20	0.99
fernando	144	88476	2019-09-20	0.99
gordon	144	6411	2019-09-20	0.99
dong	144	3611	2019-09-20	0.92
chao	144	1009	2019-09-20	0.85
jacob	143	15119	2019-09-20	0.99
geoffrey	142	14049	2019-09-20	0.99
patricia	142	132232	2019-09-20	0.020000000000000018
yue	142	816	2019-09-20	0.4
ioannis	141	2807	2019-09-20	0.99
fei	140	1207	2019-09-20	0.54
lisa	140	102796	2019-09-20	0.020000000000000018
françois	140	7	2019-09-20	1.0
boris	140	19244	2019-09-20	0.99
ilya	139	4381	2019-09-20	0.97
andrey	139	16822	2019-09-20	0.99
bing	138	1043	2019-09-20	0.63
albert	138	41504	2019-09-20	0.98
nicole	137	102075	2019-09-20	0.020000000000000018
philipp	137	18479	2019-09-20	1.0
xiang	137	763	2019-09-20	0.71
holger	137	8077	2019-09-20	0.99
yuan	137	1393	2019-09-20	0.56
alfonso	136	30170	2019-09-20	0.99
zheng	136	828	2019-09-20	0.75
raymond	136	21679	2019-09-20	0.99
steve	135	72719	2019-09-20	0.99
klaus	135	17301	2019-09-20	0.98
nick	135	46290	2019-09-20	0.98
ivo	134	12873	2019-09-20	0.98
angela	134	106685	2019-09-20	0.010000000000000009
mikhail	133	3514	2019-09-20	0.99
emmanuel	132	45589	2019-09-20	0.99
burkhard	131	675	2019-09-20	0.99
robin	131	34003	2019-09-20	0.93
russell	131	5609	2019-09-20	0.98
eduardo	131	43964	2019-09-20	0.99
alain	131	76390	2019-09-20	0.99
jonas	131	25038	2019-09-20	0.99
claire	131	42044	2019-09-20	0.030000000000000027
gustavo	131	18273	2019-09-20	0.98
henry	130	30742	2019-09-20	0.98
alejandro	130	56977	2019-09-20	0.99
donald	130	12059	2019-09-20	0.98
fabio	129	113500	2019-09-20	0.99
charlotte	128	37761	2019-09-20	0.030000000000000027
stephanie	127	68107	2019-09-20	0.020000000000000018
felix	127	35608	2019-09-20	0.98
jeff	126	32948	2019-09-20	0.99
mathieu	126	43521	2019-09-20	0.99
judith	125	19741	2019-09-20	0.020000000000000018
henrik	125	10710	2019-09-20	0.99
michel	125	93795	2019-09-20	0.97
ricardo	124	75750	2019-09-20	0.99
emily	124	16379	2019-09-20	0.020000000000000018
joachim	123	8264	2019-09-20	0.99
katherine	123	8451	2019-09-20	0.020000000000000018
helen	123	32058	2019-09-20	0.020000000000000018
zhen	123	712	2019-09-20	0.64
fan	123	2373	2019-09-20	0.56
daniela	123	109997	2019-09-20	0.020000000000000018
amy	122	31233	2019-09-20	0.030000000000000027
enrico	122	35298	2019-09-20	0.99
janet	122	15602	2019-09-20	0.020000000000000018
marcus	122	28005	2019-09-20	0.99
dmitry	122	8624	2019-09-20	1.0
todd	121	6598	2019-09-20	0.99
denis	121	57303	2019-09-20	0.96
rachel	121	28052	2019-09-20	0.020000000000000018
barry	119	12863	2019-09-20	0.97
jorge	119	118451	2019-09-20	0.99
sophia	119	16034	2019-09-20	0.030000000000000027
carsten	119	9344	2019-09-20	1.0
davide	119	82957	2019-09-20	0.99
max	118	106688	2019-09-20	0.98
walter	118	30023	2019-09-20	0.99
bart	118	16580	2019-09-20	0.99
jack	117	63210	2019-09-20	0.98
francis	116	38777	2019-09-20	0.94
qiang	116	509	2019-09-20	0.96
sergio	116	131922	2019-09-20	0.99
mike	115	109844	2019-09-20	0.99
arthur	115	20587	2019-09-20	0.99
riccardo	115	36394	2019-09-20	0.99
xavier	115	36056	2019-09-20	0.99
ken	114	20992	2019-09-20	0.98
kathleen	114	8685	2019-09-20	0.020000000000000018
qian	114	618	2019-09-20	0.30000000000000004
björn	114	517	2019-09-20	1.0
julian	114	33459	2019-09-20	0.98
derek	114	11770	2019-09-20	0.99
julien	112	114975	2019-09-20	0.99
luciano	112	23887	2019-09-20	0.99
linda	111	99198	2019-09-20	0.020000000000000018
federico	111	43663	2019-09-20	0.99
joão	111	40229	2019-09-20	0.99
jianhua	111	119	2019-09-20	0.84
lawrence	111	8119	2019-09-20	0.98
cheng	110	2123	2019-09-20	0.74
lee	110	38767	2019-09-20	0.8
hiroshi	109	2731	2019-09-20	0.99
pascal	109	84147	2019-09-20	0.99
mohammad	109	31501	2019-09-20	0.98
xiao	109	2525	2019-09-20	0.43999999999999995
sheng	109	707	2019-09-20	0.8
eva	108	135031	2019-09-20	0.020000000000000018
michelle	108	66334	2019-09-20	0.020000000000000018
roman	108	54731	2019-09-20	0.98
lauren	108	8924	2019-09-20	0.09999999999999998
jon	108	29554	2019-09-20	0.98
qing	108	749	2019-09-20	0.44999999999999996
ping	107	1584	2019-09-20	0.53
giuseppe	107	163742	2019-09-20	0.99
claudio	107	67759	2019-09-20	0.99
kim	107	51609	2019-09-20	0.43999999999999995
hongyu	107	75	2019-09-20	0.67
sergey	107	17742	2019-09-20	1.0
jacques	106	29221	2019-09-20	0.98
pietro	105	31396	2019-09-20	0.99
jérôme	103	210	2019-09-20	1.0
melissa	103	63975	2019-09-20	0.010000000000000009
sergei	103	4860	2019-09-20	0.99
liang	103	1211	2019-09-20	0.79
thierry	103	62474	2019-09-20	0.99
heng	103	795	2019-09-20	0.82
arne	102	4411	2019-09-20	0.98
henning	102	3049	2019-09-20	0.99
craig	101	19490	2019-09-20	0.99
sandra	101	266121	2019-09-20	0.020000000000000018
margaret	101	17172	2019-09-20	0.010000000000000009
ting	100	1837	2019-09-20	0.35
simone	100	86110	2019-09-20	0.75
cristina	100	140931	2019-09-20	0.010000000000000009
alexandra	100	122985	2019-09-20	0.020000000000000018
andre	100	64369	2019-09-20	0.95
gunnar	100	2406	2019-09-20	0.99
gang	99	607	2019-09-20	0.94
nir	99	472	2019-09-20	0.93
paola	98	56601	2019-09-20	0.010000000000000009
sébastien	98	61	2019-09-20	1.0
hua	97	935	2019-09-20	0.56
reinhard	97	2644	2019-09-20	0.99
nancy	97	42623	2019-09-20	0.020000000000000018
jim	97	26900	2019-09-20	0.98
amanda	97	49026	2019-09-20	0.020000000000000018
marie	97	229433	2019-09-20	0.020000000000000018
wen	97	2776	2019-09-20	0.45999999999999996
frédéric	97	91	2019-09-20	1.0
jean-pierre	96	12826	2019-09-20	0.99
karsten	95	5789	2019-09-20	0.99
alexey	95	7556	2019-09-20	1.0
ross	95	9241	2019-09-20	0.82
guido	95	15568	2019-09-20	0.99
andrei	94	21506	2019-09-20	0.97
isaac	94	18722	2019-09-20	0.98
kun	94	1297	2019-09-20	0.78
georg	94	7301	2019-09-20	0.99
leonardo	94	31322	2019-09-20	0.99
greg	93	40836	2019-09-20	0.99
monica	93	81357	2019-09-20	0.010000000000000009
evan	92	5323	2019-09-20	0.94
ulrich	92	5397	2019-09-20	0.98
massimo	92	69361	2019-09-20	0.99
antoine	92	38236	2019-09-20	0.99
rong	92	615	2019-09-20	0.59
arnaud	91	39701	2019-09-20	0.99
jesse	91	9983	2019-09-20	0.91
fred	91	73886	2019-09-20	0.96
bernd	91	12170	2019-09-20	0.99
laurence	91	53900	2019-09-20	0.040000000000000036
hiroyuki	91	1832	2019-09-20	1.0
kyle	91	12606	2019-09-20	0.98
marcelo	91	17962	2019-09-20	0.99
morten	90	4878	2019-09-20	0.99
lukas	90	29433	2019-09-20	0.99
dominik	90	35410	2019-09-20	0.99
eran	90	715	2019-09-20	0.97
harald	90	6762	2019-09-20	0.99
sophie	90	87796	2019-09-20	0.020000000000000018
dario	89	41022	2019-09-20	0.99
mohamed	89	175927	2019-09-20	0.98
alessandra	89	47882	2019-09-20	0.010000000000000009
nils	89	9603	2019-09-20	0.99
curtis	89	4112	2019-09-20	0.99
andy	89	66103	2019-09-20	0.92
nan	88	4390	2019-09-20	0.30000000000000004
